year,country,disaster_type,severity_index,casualties,economic_loss,response_hours,aid_amount,response_score,recovery_days
2022,Bangladesh,Flood,0.2,7,1495.0,35.0,368.0,19.51,112.0
2015,Indonesia,Flood,0.1,0,16669.5,2.0,6728.0,100.0,111.0
2023,Indonesia,Landslide,0.6,6,18001.0,10.0,2875.0,80.49,103.0
2016,Bangladesh,Storm Surge,0.2,9,110843.0,47.0,6070.0,0.0,153.0
2018,Japan,Storm Surge,0.6,5,10860.0,8.0,8268.0,85.37,9.0
2006,India,Wildfire,0.3,4,71290.0,12.0,8877.0,75.61,132.0
2000,Indonesia,Landslide,0.5,21,1740.0,42.0,222.0,2.44,134.0
2022,Philippines,Volcanic Eruption,0.2,2,1580.6,9.0,651.0,82.93,177.0
2023,India,Cyclone,0.2,3,7715.6,17.0,764.0,63.41,53.0
2021,China,Cyclone,2.4,14,11018.4,6.0,4029.0,90.24,28.0
2021,Indonesia,Storm Surge,0.3,5,11736.9,15.0,5675.0,68.29,102.0
2020,India,Drought,0.7,8,9238.0,11.0,7749.0,78.05,152.0
2003,India,Wildfire,0.5,24,19429.0,47.0,5722.0,0.0,153.0
2019,Indonesia,Storm Surge,0.8,5,929.6,6.0,578.0,90.24,145.0
2014,Indonesia,Landslide,0.5,7,9167.5,14.0,233.0,70.73,124.0
1998,Turkey,Wildfire,0.3,6,6161.4,21.0,606.0,53.66,119.0
2022,Japan,Extreme Cold,1.6,2,13699.2,1.0,8106.0,100.0,10.0
2013,Philippines,Landslide,0.6,7,1035.0,11.0,348.0,78.05,120.0
2008,India,Drought,0.2,1,1008.0,7.0,305.0,87.8,134.0
2013,India,Extreme Heat,0.1,2,1072.4,16.0,524.0,65.85,58.0
2016,China,Cyclone,0.6,11,735.6,11.0,503.0,58.54,81.0
2018,China,Wildfire,1.6,11,12817.6,7.0,4887.0,87.8,111.0
2016,Philippines,Tsunami,0.4,4,131781.0,11.0,92014.0,78.05,922.0
2017,Philippines,Tsunami,0.5,8,129531.0,15.0,7114.0,68.29,484.0
2007,Indonesia,Extreme Heat,0.6,5,9178.2,9.0,826.0,82.93,78.0
2024,India,Landslide,0.7,3,13913.9,4.0,9602.0,95.12,92.0
2008,Indonesia,Extreme Heat,0.3,7,13705.5,22.0,5006.0,51.22,70.0
2021,Japan,Volcanic Eruption,0.1,0,1104.6,2.0,397.0,100.0,14.0
2023,Turkey,Extreme Cold,0.9,11,13008.6,12.0,7725.0,75.61,11.0
2021,Philippines,Flood,1.0,18,110315.0,18.0,5429.0,60.98,180.0
2014,Philippines,Tsunami,0.4,5,10961.2,13.0,8265.0,73.17,286.0
2014,Philippines,Tsunami,1.4,4,13617.8,3.0,5439.0,97.56,103.0
1998,Indonesia,Storm Surge,0.6,13,17332.8,22.0,6283.0,51.22,129.0
2017,Japan,Extreme Cold,2.0,6,12950.0,3.0,3607.0,97.56,22.0
2018,China,Volcanic Eruption,1.3,31,14634.1,24.0,2005.0,46.34,163.0
2023,Japan,Volcanic Eruption,0.1,0,890.5,3.0,482.0,97.56,16.0
2021,Indonesia,Storm Surge,0.3,4,12447.9,14.0,3138.0,70.73,148.0
2007,India,Cyclone,0.1,2,15612.91,15.0,7820.0,68.29,40.0
2010,Japan,Volcanic Eruption,2.2,4,12513.6,2.0,9821.0,100.0,22.0
2007,China,Cyclone,0.2,2,1236.0,9.0,524.0,82.93,59.0
2020,China,Storm Surge,0.2,3,16275.2,13.0,5410.0,73.17,59.0
2006,Philippines,Volcanic Eruption,0.9,17,9798.3,19.0,4327.0,58.54,168.0
2022,Philippines,Cyclone,0.3,2,1320.4,8.0,719.0,85.37,61.0
2017,Philippines,Extreme Heat,1.6,22,14548.8,14.0,6119.0,70.73,93.0
2021,India,Extreme Heat,2.5,43,18092.5,17.0,6686.0,63.41,29.0
2023,Bangladesh,Extreme Heat,0.8,18,1257.6,22.0,325.0,51.22,53.0
2004,Japan,Cyclone,0.4,2,1104.0,4.0,338.0,95.12,8.0
2004,Philippines,Storm Surge,0.1,1,1362.4,11.0,270.0,78.05,157.0
2011,Philippines,Cyclone,0.9,37,1397.7,41.0,454.0,4.88,55.0
2019,Philippines,Landslide,0.1,0,1223.8,2.0,308.0,100.0,139.0
2007,India,Landslide,0.4,8,16654.0,21.0,4563.0,53.66,136.0
2011,India,Drought,0.4,8,18636.8,21.0,7358.0,53.66,172.0
2024,Indonesia,Landslide,0.6,8,15583.2,14.0,4874.0,70.73,117.0
2018,China,Volcanic Eruption,2.2,18,19177.4,8.0,6908.0,85.37,161.0
2022,Bangladesh,Landslide,3.5,42,20093.5,12.0,3236.0,75.61,136.0
2008,Bangladesh,Flood,0.4,28,1182.0,70.0,600.0,0.0,106.0
2011,China,Tsunami,1.8,45,19846.8,25.0,7493.0,43.9,253.0
2017,Philippines,Storm Surge,0.4,4,19959.2,9.0,7818.0,82.93,98.0
2018,Philippines,Cyclone,1.1,15,21146.4,14.0,8201.0,70.73,66.0
2003,Indonesia,Storm Surge,0.1,2,16275.9,22.0,7126.0,51.22,113.0
2013,Turkey,Storm Surge,0.4,2,1441.0,5.0,657.0,92.68,84.0
2010,Philippines,Cyclone,0.9,11,11112.3,12.0,3934.0,75.61,24.0
2022,Indonesia,Storm Surge,0.1,1,13327.2,6.0,5463.0,90.24,102.0
2009,India,Wildfire,1.5,20,20268.0,13.0,8131.0,73.17,127.0
2018,India,Drought,1.3,16,19808.0,12.0,6051.0,75.61,175.0
2014,Indonesia,Storm Surge,0.1,0,14843.2,2.0,6028.0,100.0,95.0
2019,Indonesia,Landslide,0.4,4,19590.8,11.0,5871.0,78.05,179.0
2017,China,Extreme Heat,1.2,35,21370.8,29.0,4600.0,34.15,58.0
2019,Philippines,Extreme Heat,0.6,9,18756.6,15.0,3958.0,68.29,45.0
2022,Philippines,Landslide,1.5,14,13947.0,9.0,9280.0,82.93,136.0
1999,Turkey,Flood,0.1,1,20269.0,10.0,7791.0,80.49,129.0
2005,Philippines,Volcanic Eruption,0.3,3,18509.8,10.0,2435.0,80.49,174.0
2022,Indonesia,Landslide,0.3,1,10708.2,2.0,8954.0,100.0,164.0
2024,Bangladesh,Flood,1.0,20,16112.0,20.0,9776.0,56.1,129.0
2010,Turkey,Extreme Cold,2.8,8,13060.0,3.0,2342.0,97.56,33.0
2016,China,Landslide,2.0,20,16132.0,10.0,2070.0,80.49,151.0
2023,Japan,Tsunami,0.7,8,9383.5,12.0,5718.0,75.61,13.0
2019,Japan,Cyclone,3.5,11,22802.5,3.0,6427.0,97.56,9.0
2005,China,Cyclone,0.5,4,1372.5,7.0,651.0,87.8,68.0
2009,Bangladesh,Extreme Heat,0.8,46,20498.4,57.0,8364.0,0.0,53.0
2015,Indonesia,Storm Surge,0.2,3,21208.0,16.0,7366.0,65.85,173.0
1999,Bangladesh,Landslide,5.2,806,18834.4,155.0,3038.0,0.0,123.0
2021,Japan,Volcanic Eruption,3.1,3,21724.8,1.0,6451.0,100.0,19.0
