year,severity_index,casualties,economic_loss,response_hours,aid_amount,response_score,recovery_days,casualties_log,economic_loss_log,aid_amount_log,recovery_days_log,response_hours_log,country_Australia,country_Bangladesh,country_Brazil,country_Canada,country_Chile,country_China,country_Congo,country_France,country_Germany,country_Greece,country_India,country_Indonesia,country_Ireland,country_Italy,country_Japan,country_Mexico,country_New Zealand,country_Nigeria,country_Peru,country_Philippines,country_South Africa,country_Spain,country_Turkey,country_United States,disaster_type_Cyclone,disaster_type_Drought,disaster_type_Earthquake,disaster_type_Extreme Cold,disaster_type_Extreme Heat,disaster_type_Flood,disaster_type_Landslide,disaster_type_Storm Surge,disaster_type_Tornado,disaster_type_Tsunami,disaster_type_Volcanic Eruption,disaster_type_Wildfire
2022,0.2,7,1495.0,35.0,368.0,19.51,112.0,2.0794415416798357,7.310550158534422,5.910796644040527,4.727387818712341,3.58351893845611,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2015,0.1,0,16669.5,2.0,6728.0,100.0,111.0,0.0,9.721395969296228,8.814181823188319,4.718498871295094,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2023,0.6,6,18001.0,10.0,2875.0,80.49,103.0,1.9459101490553132,9.79823814181703,7.964155718840937,4.6443908991413725,2.3978952727983707,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016,0.2,9,110843.0,47.0,6070.0,0.0,153.0,2.302585092994046,11.61587908638061,8.711278615130434,5.0369526024136295,3.871201010907891,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2018,0.6,5,10860.0,8.0,8268.0,85.37,9.0,1.791759469228055,9.292933670280036,9.020268861722167,2.302585092994046,2.1972245773362196,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2006,0.3,4,71290.0,12.0,8877.0,75.61,132.0,1.6094379124341003,11.174525371226087,9.09133158539398,4.890349128221754,2.5649493574615367,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2000,0.5,21,1740.0,42.0,222.0,2.44,134.0,3.091042453358316,7.462214939768189,5.407171771460119,4.90527477843843,3.7612001156935624,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2022,0.2,2,1580.6,9.0,651.0,82.93,177.0,1.0986122886681098,7.3661922718564075,6.480044561926653,5.181783550292085,2.302585092994046,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2023,0.2,3,7715.6,17.0,764.0,63.41,53.0,1.3862943611198906,8.951129131500096,6.639875833826536,3.9889840465642745,2.8903717578961645,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2021,2.4,14,11018.4,6.0,4029.0,90.24,28.0,2.70805020110221,9.307412634763663,8.301521654940728,3.367295829986474,1.9459101490553132,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2021,0.3,5,11736.9,15.0,5675.0,68.29,102.0,1.791759469228055,9.37057820174309,8.644002038279933,4.634728988229636,2.772588722239781,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2020,0.7,8,9238.0,11.0,7749.0,78.05,152.0,2.1972245773362196,9.131188933670746,8.955448122347393,5.030437921392435,2.4849066497880004,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2003,0.5,24,19429.0,47.0,5722.0,0.0,153.0,3.2188758248682006,9.874573542371486,8.652248422409102,5.0369526024136295,3.871201010907891,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2019,0.8,5,929.6,6.0,578.0,90.24,145.0,1.791759469228055,6.835829539410549,6.361302477572996,4.983606621708336,1.9459101490553132,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2014,0.5,7,9167.5,14.0,233.0,70.73,124.0,2.0794415416798357,9.123528974989219,5.455321115357702,4.8283137373023015,2.70805020110221,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1998,0.3,6,6161.4,21.0,606.0,53.66,119.0,1.9459101490553132,8.726221591038756,6.408528791059498,4.787491742782046,3.091042453358316,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
