year,country,disaster_type,severity_index,casualties,economic_loss,response_hours,aid_amount,response_score,recovery_days
2022,Bangladesh,Flood,0.2,7,"€1,495.00",35.00,€368.00,19.51,112.00
2015,Indonesia,Flood,0.1,0,"€16,669.50",2.00,"€6,728.00",100.00,111.00
2023,Indonesia,Landslide,0.6,6,"€18,001.00",10.00,"€2,875.00",80.49,103.00
2016,Bangladesh,Storm Surge,0.2,9,"€110,843.00",47.00,"€6,070.00",0.00,153.00
2018,Japan,Storm Surge,0.6,5,"€10,860.00",8.00,"€8,268.00",85.37,9.00
2006,India,Wildfire,0.3,4,"€71,290.00",12.00,"€8,877.00",75.61,132.00
2000,Indonesia,Landslide,0.5,21,"€1,740.00",42.00,€222.00,2.44,134.00
2022,Philippines,Volcanic Eruption,0.2,2,"€1,580.60",9.00,€651.00,82.93,177.00
2023,India,Cyclone,0.2,3,"€7,715.60",17.00,€764.00,63.41,53.00
2021,China,Cyclone,2.4,14,"€11,018.40",6.00,"€4,029.00",90.24,28.00
2021,Indonesia,Storm Surge,0.3,5,"€11,736.90",15.00,"€5,675.00",68.29,102.00
2020,India,Drought,0.7,8,"€9,238.00",11.00,"€7,749.00",78.05,152.00
2003,India,Wildfire,0.5,24,"€19,429.00",47.00,"€5,722.00",0.00,153.00
2019,Indonesia,Storm Surge,0.8,5,€929.60,6.00,€578.00,90.24,145.00
2014,Indonesia,Landslide,0.5,7,"€9,167.50",14.00,€233.00,70.73,124.00
1998,Turkey,Wildfire,0.3,6,"€6,161.40",21.00,€606.00,53.66,119.00
2022,Japan,Extreme Cold,1.6,2,"€13,699.20",1.00,"€8,106.00",100.00,10.00
2013,Philippines,Landslide,0.6,7,"€1,035.00",11.00,€348.00,78.05,120.00
2008,India,Drought,0.2,1,"€1,008.00",7.00,€305.00,87.80,134.00
2013,India,Extreme Heat,0.1,2,"€1,072.40",16.00,€524.00,65.85,58.00
2016,China,Cyclone,0.6,11,€735.60,11.00,€503.00,58.54,81.00
2018,China,Wildfire,1.6,11,"€12,817.60",7.00,"€4,887.00",87.80,111.00
2016,Philippines,Tsunami,0.4,4,"€131,781.00",11.00,"€92,014.00",78.05,922.00
2017,Philippines,Tsunami,0.5,8,"€129,531.00",15.00,"€7,114.00",68.29,484.00
2007,Indonesia,Extreme Heat,0.6,5,"€9,178.20",9.00,€826.00,82.93,78.00
2024,India,Landslide,0.7,3,"€13,913.90",4.00,"€9,602.00",95.12,92.00
2008,Indonesia,Extreme Heat,0.3,7,"€13,705.50",22.00,"€5,006.00",51.22,70.00
2021,Japan,Volcanic Eruption,0.1,0,"€1,104.60",2.00,€397.00,100.00,14.00
2023,Turkey,Extreme Cold,0.9,11,"€13,008.60",12.00,"€7,725.00",75.61,11.00
2021,Philippines,Flood,1,18,"€110,315.00",18.00,"€5,429.00",60.98,180.00
2014,Philippines,Tsunami,0.4,5,"€10,961.20",13.00,"€8,265.00",73.17,286.00
2014,Philippines,Tsunami,1.4,4,"€13,617.80",3.00,"€5,439.00",97.56,103.00
1998,Indonesia,Storm Surge,0.6,13,"€17,332.80",22.00,"€6,283.00",51.22,129.00
2017,Japan,Extreme Cold,2,6,"€12,950.00",3.00,"€3,607.00",97.56,22.00
2018,China,Volcanic Eruption,1.3,31,"€14,634.10",24.00,"€2,005.00",46.34,163.00
2023,Japan,Volcanic Eruption,0.1,0,€890.50,3.00,€482.00,97.56,16.00
2021,Indonesia,Storm Surge,0.3,4,"€12,447.90",14.00,"€3,138.00",70.73,148.00
2007,India,Cyclone,0.1,2,"€15,612.91",15.00,"€7,820.00",68.29,40.00
2010,Japan,Volcanic Eruption,2.2,4,"€12,513.60",2.00,"€9,821.00",100.00,22.00
2007,China,Cyclone,0.2,2,"€1,236.00",9.00,€524.00,82.93,59.00
2020,China,Storm Surge,0.2,3,"€16,275.20",13.00,"€5,410.00",73.17,59.00
2006,Philippines,Volcanic Eruption,0.9,17,"€9,798.30",19.00,"€4,327.00",58.54,168.00
2022,Philippines,Cyclone,0.3,2,"€1,320.40",8.00,€719.00,85.37,61.00
2017,Philippines,Extreme Heat,1.6,22,"€14,548.80",14.00,"€6,119.00",70.73,93.00
2021,India,Extreme Heat,2.5,43,"€18,092.50",17.00,"€6,686.00",63.41,29.00
2023,Bangladesh,Extreme Heat,0.8,18,"€1,257.60",22.00,€325.00,51.22,53.00
2004,Japan,Cyclone,0.4,2,"€1,104.00",4.00,€338.00,95.12,8.00
2004,Philippines,Storm Surge,0.1,1,"€1,362.40",11.00,€270.00,78.05,157.00
2011,Philippines,Cyclone,0.9,37,"€1,397.70",41.00,€454.00,4.88,55.00
2019,Philippines,Landslide,0.1,0,"€1,223.80",2.00,€308.00,100.00,139.00
2007,India,Landslide,0.4,8,"€16,654.00",21.00,"€4,563.00",53.66,136.00
2011,India,Drought,0.4,8,"€18,636.80",21.00,"€7,358.00",53.66,172.00
2024,Indonesia,Landslide,0.6,8,"€15,583.20",14.00,"€4,874.00",70.73,117.00
2018,China,Volcanic Eruption,2.2,18,"€19,177.40",8.00,"€6,908.00",85.37,161.00
2022,Bangladesh,Landslide,3.5,42,"€20,093.50",12.00,"€3,236.00",75.61,136.00
2008,Bangladesh,Flood,0.4,28,"€1,182.00",70.00,€600.00,0.00,106.00
2011,China,Tsunami,1.8,45,"€19,846.80",25.00,"€7,493.00",43.90,253.00
2017,Philippines,Storm Surge,0.4,4,"€19,959.20",9.00,"€7,818.00",82.93,98.00
2018,Philippines,Cyclone,1.1,15,"€21,146.40",14.00,"€8,201.00",70.73,66.00
2003,Indonesia,Storm Surge,0.1,2,"€16,275.90",22.00,"€7,126.00",51.22,113.00
2013,Turkey,Storm Surge,0.4,2,"€1,441.00",5.00,€657.00,92.68,84.00
2010,Philippines,Cyclone,0.9,11,"€11,112.30",12.00,"€3,934.00",75.61,24.00
2022,Indonesia,Storm Surge,0.1,1,"€13,327.20",6.00,"€5,463.00",90.24,102.00
2009,India,Wildfire,1.5,20,"€20,268.00",13.00,"€8,131.00",73.17,127.00
2018,India,Drought,1.3,16,"€19,808.00",12.00,"€6,051.00",75.61,175.00
2014,Indonesia,Storm Surge,0.1,0,"€14,843.20",2.00,"€6,028.00",100.00,95.00
