id,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Touchscreen,IPS,Total_pixels,CPU_GHz,CPU_brand,CPU_model,SSD_GB,HDD_GB,Hybrid_GB,GPU_Intel,GPU_AMD,GPU_Nvidia
697,2,0,12.5,4,0,1.2,669.0,1,0,2073600,0.9,1,10,64,0,0,515,0,0
435,2,1,17.3,8,3,3.2,1695.0,0,0,2073600,3.2,0,15,256,1024,0,0,580,0
735,10,3,15.6,4,3,1.85,779.0,0,0,2073600,2.7,1,13,0,1024,0,620,0,0
864,4,4,13.3,16,3,1.29,2240.0,1,0,5760000,2.5,1,13,512,0,0,640,0,0
1176,10,3,15.6,4,3,2.32,825.0,0,0,2073600,2.5,1,13,0,0,1024,520,0,0
533,12,3,13.3,4,3,1.2,369.0,0,1,2073600,1.1,1,1,32,0,0,500,0,0
568,10,3,15.6,4,3,2.2,344.0,0,0,2073600,1.1,1,2,0,500,0,505,0,0
41,4,1,15.6,16,3,2.65,1499.0,0,1,2073600,2.8,1,13,256,1024,0,0,0,1060
411,10,4,14.0,8,3,1.7,1943.0,0,1,3686400,2.8,1,13,512,0,0,0,0,940
424,4,1,17.3,16,3,4.42,2799.0,0,1,3686400,2.9,1,13,256,1024,0,0,0,1070
660,4,3,14.0,8,3,1.56,1229.0,0,0,2073600,2.4,1,12,256,0,0,520,0,0
631,4,1,15.6,16,3,2.62,1479.0,0,0,2073600,2.8,1,13,256,1024,0,0,0,1050
479,16,3,13.3,8,3,1.05,1672.0,0,1,2073600,2.5,1,12,256,0,0,620,0,0
732,7,3,15.6,6,3,2.1,650.0,0,0,2073600,3.0,0,7,128,1024,0,0,520,0
686,7,3,15.6,4,3,1.86,612.61,0,0,1049088,2.5,1,12,0,500,0,0,520,0
342,7,3,15.6,8,3,2.1,716.0,0,1,2073600,2.4,1,11,0,1024,0,0,0,930
980,4,0,15.6,12,3,2.19,1299.0,1,1,2073600,2.7,1,13,512,0,0,620,0,0
199,7,3,17.3,8,3,2.5,1045.0,0,0,2073600,1.8,1,13,256,0,0,0,0,930
689,10,3,15.6,4,3,2.1,318.0,0,0,1049088,1.6,1,1,0,500,0,510,0,0
613,4,3,15.6,4,1,2.25,359.0,0,0,1049088,2.0,1,11,0,1024,0,520,0,0
699,7,3,15.6,4,3,2.1,689.0,0,1,2073600,2.7,1,13,0,500,0,0,530,0
324,0,3,15.6,8,3,2.2,659.0,0,0,1049088,2.7,0,9,256,0,0,0,540,0
1196,10,3,15.6,4,2,1.9,368.0,0,0,1049088,2.0,1,11,0,1024,0,0,5,0
178,10,3,15.6,8,3,1.9,813.0,0,0,2073600,2.5,1,12,128,1024,0,0,17,0
231,7,3,15.6,4,3,2.1,330.0,0,0,1049088,1.5,0,3,0,500,0,0,2,0
240,10,3,15.6,8,3,2.2,589.0,0,0,1049088,2.0,1,11,128,0,0,520,0,0
595,10,3,15.6,8,3,2.29,459.0,0,0,1049088,2.3,1,11,0,1024,0,520,0,0
888,0,2,11.6,4,0,1.25,297.0,0,1,1049088,1.6,1,1,32,0,0,400,0,0
896,4,1,15.6,8,1,2.62,929.0,0,0,2073600,2.8,1,13,0,1024,0,0,0,1050
1240,10,3,15.6,6,3,2.2,597.57,0,0,2073600,3.6,0,9,256,0,0,0,530,0
385,10,4,14.0,8,3,1.13,2282.0,0,1,3686400,2.7,1,13,512,0,0,620,0,0
293,4,3,15.6,8,3,2.0,1829.0,0,0,2073600,2.8,1,13,256,0,0,0,0,1050
380,7,1,17.3,8,3,3.35,1191.0,0,1,2073600,2.8,1,13,128,1024,0,0,0,1050
635,2,3,15.6,8,3,1.99,906.62,0,0,2073600,2.5,1,12,0,1024,0,0,0,1050
439,2,3,15.6,4,1,2.0,559.0,0,0,2073600,2.5,1,12,256,0,0,620,0,0
707,10,5,15.6,16,3,2.18,1855.0,0,0,2073600,2.5,1,13,512,0,0,0,0,520
843,4,3,15.6,8,3,2.18,713.99,0,0,1049088,2.5,1,12,128,0,0,620,0,0
1282,7,2,11.6,2,3,1.17,209.0,0,0,1049088,1.6,1,1,32,0,0,400,0,0
29,7,3,17.3,8,3,2.5,896.0,0,0,2073600,1.6,1,12,0,1024,0,0,0,930
372,2,1,17.3,16,3,3.25,2199.0,0,1,2073600,3.0,0,15,256,1024,0,0,580,0
831,10,4,14.0,16,3,1.1,2099.0,0,1,3686400,2.6,1,13,512,0,0,520,0,0
151,4,1,15.6,8,3,2.62,899.0,0,0,2073600,2.8,1,13,0,0,1024,0,0,1050
1037,16,4,14.0,8,3,1.47,1725.0,0,1,2073600,2.6,1,13,256,0,0,520,0,0
115,7,0,13.3,8,3,1.26,1398.99,1,1,2073600,1.6,1,12,256,0,0,620,0,0
1004,16,3,13.3,4,3,1.2,1195.0,0,0,2073600,2.3,1,12,128,0,0,520,0,0
