ID,RevolvingUtilizationOfUnsecuredLines,Age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
9580,1.0,58,1,2.0,3425.0,9,1,1,1,1.0,0
118799,0.0,52,1,0.0,5000.0,9,0,0,0,0.0,0
16489,0.0,77,0,1.0,2000.0,8,0,0,0,0.0,0
149857,1.0,30,0,0.0,5843.0,4,0,0,0,0.0,0
6660,0.0,80,0,0.0,10416.0,4,0,0,0,0.0,0
137509,0.0,68,0,1.0,6450.0,7,0,1,0,0.0,0
4629,0.0,38,0,3.0,2500.0,5,0,1,0,0.0,0
21512,0.0,65,0,0.0,3701.0,2,0,0,0,1.0,0
35846,0.0,55,0,1.0,9725.0,11,0,2,0,0.0,0
2674,2.0,41,1,2.0,4036.0,9,1,0,1,1.0,0
26538,0.0,64,0,1.0,12347.0,24,0,2,0,0.0,0
147150,0.0,53,0,1.0,8000.0,25,0,2,0,0.0,1
18796,0.0,52,0,2.0,5600.0,4,0,1,0,0.0,0
140613,0.0,29,0,1.0,8916.0,12,0,2,0,1.0,0
51938,3.0,54,0,0.0,4000.0,5,1,0,1,2.0,1
144902,0.0,53,1,2.0,2160.0,16,0,1,0,0.0,0
94691,0.0,61,0,1.0,10752.0,13,0,2,0,0.0,0
133187,0.0,60,0,1.0,19500.0,10,0,2,0,1.0,0
74553,0.0,69,0,1.0,4500.0,9,0,0,0,0.0,0
1114,2.0,37,0,2.0,11256.0,11,0,2,0,1.0,0
101636,1.0,40,1,2.0,11500.0,13,0,6,0,1.0,1
99074,2.0,43,1,2.0,7280.0,12,0,2,0,0.0,0
25434,0.0,79,0,3.0,6994.0,14,0,2,0,0.0,0
2043,2.0,48,1,1.0,1600.0,1,0,0,0,0.0,1
121445,0.0,49,0,3.0,1000.0,9,0,2,0,2.0,0
92704,0.0,90,0,0.0,10187.0,6,0,0,0,0.0,0
104875,1.0,38,0,2.0,2620.0,3,0,1,0,2.0,1
26937,0.0,52,0,1.0,10618.0,9,0,1,0,2.0,0
21659,3.0,31,0,0.0,4166.0,4,0,0,0,0.0,0
126479,1.0,40,0,2.0,5611.0,11,0,2,0,2.0,0
99279,1.0,53,0,1.0,7465.0,9,0,1,0,0.0,0
116154,0.0,48,0,0.0,11450.0,6,0,0,0,0.0,0
114876,0.0,51,0,1.0,3742.0,7,0,1,0,0.0,0
16607,0.0,79,0,0.0,3266.0,6,0,0,0,0.0,0
36900,0.0,59,0,2.0,6010.0,10,0,2,0,1.0,0
146999,0.0,47,1,0.0,4409.0,3,0,0,0,0.0,0
63729,2.0,33,1,1.0,4500.0,4,0,1,0,0.0,1
35383,0.0,61,0,2.0,1341.0,9,0,1,0,0.0,0
29751,2.0,55,0,1.0,4000.0,1,0,0,0,0.0,0
26598,0.0,69,0,2.0,2500.0,16,0,2,0,0.0,0
87258,0.0,77,0,1.0,4000.0,7,0,2,0,0.0,0
67429,0.0,54,0,1.0,10766.0,9,0,2,0,0.0,0
116436,0.0,64,0,3.0,600.0,12,0,0,0,0.0,0
37770,0.0,71,0,0.0,6501.0,2,0,0,0,0.0,0
94609,0.0,36,0,0.0,2200.0,1,0,0,0,0.0,0
102065,0.0,31,0,0.0,6500.0,4,0,0,0,0.0,0
4094,0.0,52,0,2.0,5000.0,8,0,1,0,0.0,0
1852,0.0,45,0,1.0,4166.0,7,0,2,0,0.0,0
111577,2.0,39,0,2.0,2400.0,5,0,2,0,0.0,0
18489,1.0,22,0,1.0,2900.0,4,0,0,0,3.0,1
138205,0.0,41,0,2.0,2916.0,12,0,1,0,2.0,0
87889,0.0,48,0,2.0,12100.0,8,0,1,0,3.0,0
92017,0.0,74,0,1.0,4500.0,12,0,1,0,0.0,0
128558,2.0,31,1,2.0,3400.0,7,0,1,0,2.0,0
31026,0.0,55,0,2.0,3333.0,9,0,2,0,2.0,0
90542,1.0,61,0,1.0,3500.0,11,0,0,0,0.0,0
73193,0.0,62,1,0.0,5000.0,6,0,0,0,1.0,0
1794,0.0,49,0,0.0,9216.0,4,0,0,0,1.0,0
107413,1.0,33,0,0.0,4420.0,3,0,0,0,2.0,1
139706,0.0,29,0,2.0,5400.0,10,0,2,0,0.0,0
50256,0.0,50,1,2.0,4720.0,7,1,1,0,3.0,1
115663,2.0,45,1,0.0,4762.0,1,1,0,0,4.0,0
9509,0.0,36,0,2.0,4767.0,8,0,2,0,0.0,0
33005,2.0,27,0,0.0,850.0,0,1,0,0,0.0,0
93675,3.0,56,0,1.0,9976.0,13,0,1,0,0.0,0
87403,1.0,46,0,2.0,10000.0,10,0,2,0,2.0,0
82211,0.0,61,0,3.0,1666.0,6,0,1,0,0.0,0
34583,0.0,62,0,2.0,11000.0,4,0,3,0,1.0,0
95317,2.0,47,1,2.0,13143.0,14,0,5,1,2.0,1
76315,0.0,56,0,2.0,12500.0,13,0,4,0,0.0,0
39140,0.0,66,0,2.0,2307.0,13,0,0,0,0.0,0
135084,0.0,81,0,1.0,3883.0,8,0,0,0,1.0,0
121038,0.0,32,0,2.0,4297.0,6,0,2,0,1.0,0
145948,0.0,31,0,1.0,3583.0,7,0,1,0,0.0,0
32668,2.0,49,1,1.0,5146.0,3,1,2,1,4.0,1
31183,0.0,63,0,1.0,3700.0,7,0,1,0,2.0,0
136320,0.0,88,0,3.0,3334.0,7,0,1,0,0.0,0
43946,0.0,53,0,2.0,2954.0,9,0,1,0,2.0,0
44444,0.0,65,0,0.0,6761.0,5,0,0,0,0.0,0
73102,0.0,44,0,2.0,6116.0,13,0,2,0,1.0,0
29190,0.0,23,0,0.0,929.0,2,0,0,0,0.0,0
52382,0.0,67,0,1.0,4000.0,7,0,1,0,0.0,0
122272,0.0,46,0,2.0,4798.0,7,0,1,0,2.0,0
133439,0.0,55,0,2.0,5998.0,11,0,1,0,0.0,0
52068,2.0,82,1,2.0,6034.0,16,0,2,0,1.0,1
32632,1.0,68,1,2.0,3000.0,10,0,1,1,0.0,0
55943,1.0,30,0,0.0,2570.0,4,0,0,0,0.0,0
128375,0.0,55,0,1.0,18023.0,8,0,4,0,1.0,0
10109,0.0,88,0,0.0,3495.0,4,0,0,0,0.0,0
126071,1.0,30,1,2.0,5600.0,11,0,1,0,3.0,1
58648,1.0,41,1,1.0,5000.0,9,0,0,0,2.0,0
97047,1.0,58,0,3.0,6400.0,44,0,4,0,0.0,0
43203,1.0,38,1,1.0,4484.0,13,0,0,0,3.0,0
258,0.0,44,0,1.0,4825.0,4,0,1,0,2.0,0
149631,2.0,44,0,0.0,5600.0,2,0,0,0,2.0,0
90512,2.0,40,1,1.0,2166.0,7,1,0,0,0.0,0
103778,0.0,43,0,3.0,2200.0,13,0,4,0,2.0,0
98942,0.0,49,0,2.0,10891.0,16,0,2,0,3.0,0
82553,2.0,40,1,0.0,8000.0,8,0,0,0,2.0,0
10887,1.0,46,0,1.0,4000.0,5,0,2,0,3.0,0
39315,1.0,57,0,2.0,8583.0,6,0,4,0,0.0,0
105014,0.0,43,1,2.0,8400.0,10,0,2,0,0.0,0
40339,0.0,87,0,0.0,2000.0,3,0,0,0,0.0,0
48719,0.0,51,0,2.0,5590.0,6,0,1,0,3.0,0
138276,3.0,48,1,3.0,666.0,4,0,1,0,3.0,1
22186,0.0,54,0,2.0,12000.0,5,0,2,0,1.0,0
106008,2.0,56,1,3.0,1200.0,11,0,0,0,0.0,0
32234,0.0,48,1,1.0,8350.0,15,0,1,0,0.0,0
143240,2.0,40,0,1.0,5600.0,4,0,0,0,1.0,0
22485,2.0,49,1,2.0,2270.0,6,1,0,0,0.0,1
114027,2.0,57,0,0.0,2762.0,0,0,0,0,0.0,0
97933,0.0,62,1,2.0,2400.0,17,0,1,0,0.0,0
130813,0.0,35,0,2.0,4020.0,6,0,1,0,0.0,1
24793,0.0,22,0,0.0,820.0,4,0,0,0,0.0,0
143294,0.0,33,0,0.0,4333.0,7,0,0,0,0.0,0
135820,1.0,47,0,1.0,12500.0,12,0,0,0,0.0,1
26724,0.0,74,0,0.0,2517.0,14,0,0,0,0.0,0
128337,0.0,49,1,2.0,7600.0,15,0,1,0,2.0,0
71945,1.0,71,0,1.0,5333.0,7,0,0,0,0.0,0
31461,1.0,44,0,1.0,6000.0,7,0,1,0,3.0,0
72256,0.0,42,0,1.0,8833.0,13,0,2,0,3.0,0
11712,2.0,41,0,1.0,7000.0,5,0,0,0,0.0,0
10947,2.0,68,0,0.0,5250.0,8,0,0,0,0.0,0
126241,1.0,47,0,2.0,8000.0,8,0,3,0,3.0,0
8051,0.0,50,0,1.0,3000.0,3,0,0,0,1.0,0
138792,1.0,60,0,2.0,19000.0,20,0,2,0,1.0,0
70753,0.0,46,0,0.0,8858.0,4,0,1,0,1.0,0
46701,2.0,54,0,0.0,3150.0,1,0,0,0,0.0,0
78005,2.0,49,0,3.0,5000.0,6,0,1,0,2.0,0
32315,0.0,65,0,2.0,5000.0,16,0,4,0,0.0,0
62835,1.0,55,0,2.0,8050.0,10,0,4,0,1.0,0
102754,0.0,38,0,2.0,2614.0,10,0,1,0,2.0,0
132719,1.0,62,0,2.0,6161.0,16,0,0,0,1.0,0
73137,0.0,67,0,0.0,4518.0,9,0,0,0,0.0,0
121653,1.0,64,1,2.0,4167.0,13,1,2,0,0.0,0
83636,0.0,63,0,1.0,5000.0,14,0,1,0,0.0,0
135735,0.0,34,0,0.0,3000.0,2,0,0,0,1.0,0
22383,0.0,40,1,2.0,5986.0,11,0,2,0,2.0,0
126985,3.0,37,0,1.0,11250.0,9,0,1,0,2.0,0
127492,0.0,27,1,0.0,3400.0,2,1,0,0,0.0,0
120052,0.0,64,0,1.0,12500.0,8,0,1,0,1.0,0
93806,0.0,34,0,2.0,3300.0,10,0,1,0,0.0,0
105052,0.0,59,0,1.0,6667.0,5,0,1,0,0.0,0
26969,1.0,62,0,2.0,2533.0,8,0,1,0,0.0,0
11933,0.0,40,0,1.0,3500.0,5,0,0,0,3.0,0
93811,0.0,42,0,0.0,6000.0,4,0,0,0,2.0,0
31502,0.0,48,0,3.0,0.0,6,0,1,0,3.0,0
121742,0.0,39,0,2.0,5900.0,8,0,2,0,1.0,0
29108,0.0,32,0,0.0,820.0,5,0,0,0,0.0,0
34051,2.0,47,0,2.0,9500.0,3,0,1,0,0.0,0
122277,0.0,45,0,1.0,3700.0,3,0,0,0,2.0,0
62507,0.0,59,1,2.0,3600.0,10,0,2,1,3.0,0
66522,0.0,78,0,2.0,2580.0,31,0,1,0,0.0,0
59517,0.0,54,0,2.0,3255.0,10,0,1,0,0.0,0
53915,0.0,73,1,3.0,5932.0,10,0,3,0,1.0,1
7663,0.0,47,0,2.0,4800.0,20,0,1,0,2.0,0
118960,2.0,48,1,0.0,8000.0,4,0,0,1,1.0,1
95474,2.0,69,0,2.0,3168.0,3,0,2,0,0.0,0
140721,0.0,53,0,1.0,2010.0,7,0,0,0,0.0,0
64598,0.0,36,0,1.0,9000.0,15,0,2,0,3.0,0
